iter	MultiRMSE
0	17.52220834
1	17.49046928
2	17.46300939
3	17.42858213
4	17.38692828
5	17.35405293
6	17.32894279
7	17.29657125
8	17.26759322
9	17.24395068
10	17.2217162
11	17.19569939
12	17.16659381
13	17.14217073
14	17.10852932
15	17.08229134
16	17.05068005
17	17.02555322
18	17.00798019
19	16.98530371
20	16.95122205
21	16.92808358
22	16.90771059
23	16.88917415
24	16.86857551
25	16.8388733
26	16.81990077
27	16.79561625
28	16.76914961
29	16.74457983
30	16.72983449
31	16.71039626
32	16.69165298
33	16.67178719
34	16.65097581
35	16.62796097
36	16.6094002
37	16.59062489
38	16.57044382
39	16.55295395
40	16.53501764
41	16.51586496
42	16.49763111
43	16.47832532
44	16.46301212
45	16.44928739
46	16.43073641
47	16.4139529
48	16.40604289
49	16.39021079
50	16.37715669
51	16.3589052
52	16.34598967
53	16.33038784
54	16.31657693
55	16.29984227
56	16.28568337
57	16.2740234
58	16.25736394
59	16.24688087
60	16.23121092
61	16.21062439
62	16.19416084
63	16.17528557
64	16.16211034
65	16.14443552
66	16.13553471
67	16.12011817
68	16.09968294
69	16.08157512
70	16.06015771
71	16.04627678
72	16.02841251
73	16.02046199
74	16.00254139
75	15.98989836
76	15.97341268
77	15.95967052
78	15.94973244
79	15.93325872
80	15.92416259
81	15.91037924
82	15.89776065
83	15.88746639
84	15.87273206
85	15.86082708
86	15.85013037
87	15.84175393
88	15.83082232
89	15.81537506
90	15.80228848
91	15.79080381
92	15.78472824
93	15.77366177
94	15.76441591
95	15.75697985
96	15.74774018
97	15.7406049
98	15.73399747
99	15.72357734
100	15.7151021
101	15.70167534
102	15.68909373
103	15.6833851
104	15.67344291
105	15.66042141
106	15.64530532
107	15.63867288
108	15.62988021
109	15.61530323
110	15.61069572
111	15.60256401
112	15.59597623
113	15.58856941
114	15.58273316
115	15.56916024
116	15.56127604
117	15.55229483
118	15.54241009
119	15.53052306
120	15.52259489
121	15.50955903
122	15.50228644
123	15.49337821
124	15.48515039
125	15.4789181
126	15.47123494
127	15.46230223
128	15.45120528
129	15.44219085
130	15.43525153
131	15.42660972
132	15.41907755
133	15.40962321
134	15.3996709
135	15.38701735
136	15.37623457
137	15.36911758
138	15.35825989
139	15.34711735
140	15.33618195
141	15.32557806
142	15.31989039
143	15.31269836
144	15.30009083
145	15.28912176
146	15.27823366
147	15.27081448
148	15.25946354
149	15.24733661
150	15.23428699
151	15.22693467
152	15.22039474
153	15.2139805
154	15.2049793
155	15.19523822
156	15.19081232
157	15.18627525
158	15.17599631
159	15.16658591
160	15.15847019
161	15.14884652
162	15.14037521
163	15.13031319
164	15.12286489
165	15.1168038
166	15.10797784
167	15.09567461
168	15.09017964
169	15.08547089
170	15.0766664
171	15.06932049
172	15.06323178
173	15.05668682
174	15.05231965
175	15.04402397
176	15.03973155
177	15.03186206
178	15.0255569
179	15.01476058
180	15.0068989
181	14.9980585
182	14.98804582
183	14.98240714
184	14.97160425
185	14.9659636
186	14.95915496
187	14.95597957
188	14.94779866
189	14.94148979
190	14.93941958
191	14.93624761
192	14.93149711
193	14.92442809
194	14.91788109
195	14.90922516
196	14.90338921
197	14.89752298
198	14.89365158
199	14.88530474
200	14.87721553
201	14.87384858
202	14.86820368
203	14.86006911
204	14.85475565
205	14.84784723
206	14.84267399
207	14.83499578
208	14.82949231
209	14.82519502
210	14.81890459
211	14.81333595
212	14.80230935
213	14.795695
214	14.78825901
215	14.78069587
216	14.77422995
217	14.76586818
218	14.75988326
219	14.75444314
220	14.74590305
221	14.74048058
222	14.73299512
223	14.72476256
224	14.71896161
225	14.71197001
226	14.70551104
227	14.69979703
228	14.69581545
229	14.69081204
230	14.68464984
231	14.67535863
232	14.66844159
233	14.66188997
234	14.65607314
235	14.65058608
236	14.64445297
237	14.64014307
238	14.63556431
239	14.63164118
