iter	Passed	Remaining
0	108	544649
1	182	455039
2	251	418814
3	318	398146
4	387	387146
5	454	378340
6	521	371798
7	587	366367
8	653	362234
9	719	359117
10	785	356145
11	852	354249
12	919	352828
13	990	352821
14	1066	354322
15	1136	353984
16	1208	354275
17	1282	355056
18	1352	354653
19	1420	353766
20	1487	352689
21	1555	352057
22	1622	351170
23	1689	350288
24	1756	349543
25	1823	348883
26	1891	348404
27	1964	348898
28	2040	349730
29	2115	350446
30	2185	350383
31	2259	350822
32	2334	351374
33	2402	350934
34	2472	350806
35	2546	351068
36	2620	351444
37	2691	351421
38	2762	351395
39	2833	351309
40	2900	350840
41	2967	350356
42	3035	349925
43	3101	349384
44	3168	348835
45	3234	348339
46	3301	347930
47	3369	347644
48	3440	347673
49	3510	347529
50	3583	347741
51	3661	348441
52	3739	349086
53	3826	350433
54	3896	350289
55	3969	350490
56	4050	351275
57	4120	351114
58	4192	351094
59	4268	351402
60	4342	351600
61	4412	351436
62	4484	351444
63	4553	351225
64	4623	351024
65	4693	350847
66	4761	350601
67	4830	350388
68	4903	350432
69	4971	350106
70	5040	349897
71	5111	349849
72	5179	349567
73	5249	349420
74	5323	349548
75	5390	349233
76	5456	348845
77	5524	348606
78	5593	348449
79	5665	348433
80	5734	348266
81	5803	348059
82	5870	347785
83	5937	347466
84	6004	347183
85	6073	347035
86	6143	346924
87	6211	346699
88	6278	346470
89	6344	346154
90	6411	345892
91	6478	345620
92	6546	345421
93	6612	345103
94	6678	344841
95	6744	344544
96	6811	344301
97	6878	344043
98	6945	343829
99	7011	343558
100	7077	343315
101	7145	343126
102	7213	342963
103	7286	343036
104	7353	342820
105	7423	342734
106	7495	342756
107	7562	342533
108	7628	342281
109	7695	342096
110	7764	341994
111	7834	341898
112	7904	341852
113	7977	341924
114	8049	341911
115	8119	341870
116	8188	341733
117	8258	341658
118	8337	341964
119	8405	341813
120	8476	341785
121	8550	341899
122	8623	341906
123	8691	341772
124	8760	341672
125	8831	341608
126	8901	341544
127	8970	341435
128	9039	341325
129	9106	341127
130	9171	340876
131	9237	340683
132	9305	340509
133	9375	340451
134	9443	340322
135	9509	340101
136	9576	339922
137	9645	339833
138	9715	339768
139	9785	339702
140	9859	339751
141	9935	339912
142	10013	340097
143	10086	340137
144	10158	340129
145	10227	340026
146	10294	339845
147	10361	339700
148	10433	339696
149	10503	339619
150	10572	339520
151	10644	339489
152	10711	339342
153	10778	339182
154	10845	339006
155	10910	338786
156	10976	338581
157	11045	338501
158	11116	338456
159	11187	338416
160	11261	338481
161	11334	338498
162	11405	338465
163	11478	338471
164	11550	338456
165	11619	338359
166	11689	338303
167	11761	338289
168	11829	338154
169	11898	338061
170	11967	337949
171	12036	337857
172	12104	337730
173	12171	337591
174	12236	337391
175	12302	337195
176	12367	337001
177	12433	336822
178	12499	336636
179	12565	336470
180	12631	336291
181	12696	336112
182	12762	335941
183	12827	335757
184	12894	335600
185	12963	335509
186	13033	335449
187	13101	335336
188	13167	335167
189	13232	334991
190	13298	334826
191	13364	334668
192	13430	334517
193	13495	334333
194	13561	334173
195	13628	334043
196	13704	334114
197	13774	334063
198	13842	333964
199	13927	334264
200	13997	334210
201	14069	334179
202	14135	334027
203	14202	333895
204	14274	333874
205	14352	334000
206	14426	334030
207	14514	334385
208	14590	334473
209	14662	334452
210	14735	334444
211	14804	334365
212	14875	334304
213	14944	334224
214	15010	334063
215	15076	333908
216	15143	333787
217	15210	333652
218	15279	333558
219	15344	333393
220	15411	333270
221	15480	333170
222	15549	333097
223	15616	332972
224	15683	332835
225	15750	332709
226	15819	332630
227	15889	332565
228	15963	332578
229	16043	332720
230	16117	332753
231	16192	332794
232	16264	332754
233	16332	332661
234	16401	332562
235	16476	332593
236	16550	332607
237	16624	332624
238	16697	332631
239	16767	332558
240	16837	332482
241	16918	332631
242	16992	332648
243	17067	332677
244	17145	332754
245	17219	332777
246	17293	332777
247	17367	332780
248	17439	332745
249	17513	332764
250	17590	332813
251	17666	332859
252	17745	332961
253	17820	332980
254	17904	333156
255	17980	333205
256	18058	333279
257	18134	333305
258	18214	333422
259	18297	333577
260	18379	333719
261	18467	333962
262	18552	334152
263	18637	334341
264	18717	334447
265	18796	334526
266	18875	334593
